dataset,perturbation,target,rep,model,task_type,trtr_mae,trtr_rmse,trtr_mse,trtr_r2,trts_mae,trts_rmse,trts_mse,trts_r2,tsts_mae,tsts_rmse,tsts_mse,tsts_r2,tstr_mae,tstr_rmse,tstr_mse,tstr_r2,trtr_accuracy,trtr_balanced_accuracy,trtr_macro_f1,trtr_auroc,trts_accuracy,trts_balanced_accuracy,trts_macro_f1,trts_auroc,tsts_accuracy,tsts_balanced_accuracy,tsts_macro_f1,tsts_auroc,tstr_accuracy,tstr_balanced_accuracy,tstr_macro_f1,tstr_auroc
real_data5_testing,mean_variance_drift,definite_borders,4,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.40540540540540543,0.4442294461644307,0.42574160811865724,0.6133177740634921,0.3918918918918919,0.4310715514275886,0.405442462819512,0.6052358941437515,0.3918918918918919,0.4310715514275886,0.410579006492641,0.604722697662813,0.3918918918918919,0.42339611283109735,0.4074992757964463,0.6006283801240981
real_data5_testing,mean_variance_drift,definite_borders,4,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.527027027027027,0.42103113175094603,0.42022932022932025,0.7690414560430415,0.527027027027027,0.4414559683522532,0.4567552502335111,0.7661969130059051,0.527027027027027,0.42103113175094603,0.42022932022932025,0.7688506151210885,0.527027027027027,0.4414559683522532,0.45444766420793814,0.7679650970783436
real_data5_testing,mean_variance_drift,itching,0,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.40540540540540543,0.39375,0.37331932773109244,0.5969205116133083,0.4189189189189189,0.4041666666666667,0.39970376441660327,0.60405131826742,0.40540540540540543,0.39375,0.37331932773109244,0.5969205116133083,0.40540540540540543,0.39375,0.3742727860374919,0.5965391556811048
real_data5_testing,mean_variance_drift,itching,0,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.5135135135135135,0.48125000000000007,0.4761510487694006,0.7802507062146894,0.527027027027027,0.49583333333333335,0.4944736842105263,0.7819081528562462,0.5135135135135135,0.48125000000000007,0.4761510487694006,0.7792990819209039,0.527027027027027,0.4979166666666667,0.4854711687680523,0.7744520951035782
real_data5_testing,mean_variance_drift,itching,1,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.43243243243243246,0.39375000000000004,0.3933861043347775,0.602683223477715,0.40540540540540543,0.37083333333333335,0.3734980223677032,0.5871727871939736,0.43243243243243246,0.39375000000000004,0.3933861043347775,0.602683223477715,0.43243243243243246,0.40625,0.40901357064920896,0.608933223477715
real_data5_testing,mean_variance_drift,itching,1,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.5405405405405406,0.4875,0.482032279314888,0.7428289783427495,0.5405405405405406,0.4875,0.4795437209624852,0.7452458019460138,0.5405405405405406,0.4875,0.482032279314888,0.7418797080979284,0.5405405405405406,0.4895833333333333,0.4817555761126529,0.7531618801004395
real_data5_testing,mean_variance_drift,itching,2,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.40540540540540543,0.39791666666666664,0.4007155635062612,0.6012700094161958,0.4189189189189189,0.41874999999999996,0.41756796527241297,0.6140014908976773,0.40540540540540543,0.39791666666666664,0.4007155635062612,0.6012700094161958,0.40540540540540543,0.39166666666666666,0.4000441286792286,0.598145009416196
real_data5_testing,mean_variance_drift,itching,2,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.47297297297297297,0.4458333333333333,0.43695084485407065,0.754967827997489,0.4594594594594595,0.43333333333333335,0.4219691598723857,0.7406047944130572,0.47297297297297297,0.4458333333333333,0.43695084485407065,0.7543336079723792,0.5,0.47916666666666663,0.46612554112554117,0.7628342749529189
real_data5_testing,mean_variance_drift,itching,3,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.40540540540540543,0.4041666666666666,0.40011455518111955,0.6028805712492153,0.3918918918918919,0.3875,0.385439763488544,0.592047237915882,0.40540540540540543,0.4041666666666666,0.40011455518111955,0.6028805712492153,0.3783783783783784,0.3833333333333333,0.3771072453371592,0.5882266164469554
real_data5_testing,mean_variance_drift,itching,3,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.47297297297297297,0.43125,0.42916476772096135,0.757239877589454,0.4864864864864865,0.44375,0.44107740086000946,0.7508143047708726,0.47297297297297297,0.43125,0.42916476772096135,0.7572514516635279,0.4594594594594595,0.41874999999999996,0.41717583073202436,0.7585020401757689
real_data5_testing,mean_variance_drift,itching,4,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.47297297297297297,0.44791666666666663,0.44295167198393004,0.6353707627118644,0.47297297297297297,0.4520833333333333,0.45051453518589096,0.6378354519774011,0.47297297297297297,0.44791666666666663,0.44295167198393004,0.6353707627118644,0.47297297297297297,0.44791666666666663,0.4418790117007434,0.6348042215944758
real_data5_testing,mean_variance_drift,itching,4,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.6081081081081081,0.5770833333333333,0.5719702248234857,0.8257089610797239,0.5945945945945946,0.5604166666666667,0.55064831002331,0.8250719946641556,0.5945945945945946,0.5604166666666667,0.5571723546828736,0.8244240426867546,0.5945945945945946,0.5645833333333333,0.5618977551405395,0.8265564187068424
real_data5_testing,mean_variance_drift,koebner_phenomenon,0,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.6081081081081081,0.45431096681096683,0.45218382377726096,0.6504108200228891,0.5945945945945946,0.44875541125541124,0.44370127858051467,0.6456489152609842,0.5945945945945946,0.44875541125541124,0.44370127858051467,0.6456489152609842,0.6351351351351351,0.4825937950937951,0.4809113300492611,0.6707474996268099
real_data5_testing,mean_variance_drift,koebner_phenomenon,0,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.6081081081081081,0.3507215007215007,0.3486394557823129,0.8424090038314176,0.6216216216216216,0.3808802308802309,0.37727652464494565,0.8420463875205254,0.6081081081081081,0.3507215007215007,0.3486394557823129,0.8432365527193113,0.6351351351351351,0.3864357864357864,0.38820953482607623,0.8399862230681195
real_data5_testing,mean_variance_drift,koebner_phenomenon,1,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.6081081081081081,0.4248376623376624,0.42336890162977125,0.6292907523510972,0.6351351351351351,0.4359487734487735,0.43625464370145217,0.6390129745733194,0.6081081081081081,0.4248376623376624,0.42336890162977125,0.6292907523510972,0.6081081081081081,0.4248376623376624,0.42336890162977125,0.6292907523510972
real_data5_testing,mean_variance_drift,koebner_phenomenon,1,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.6756756756756757,0.46004689754689754,0.4985260770975056,0.8315393777678259,0.6621621621621622,0.43731962481962483,0.46845737228414297,0.836325228889884,0.6756756756756757,0.46004689754689754,0.4985260770975056,0.831549640493606,0.6621621621621622,0.44705988455988455,0.4853535353535353,0.8314423483604517
real_data5_testing,mean_variance_drift,koebner_phenomenon,2,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.6081081081081081,0.45230880230880227,0.4200292461162026,0.6482739961188237,0.5945945945945946,0.4344516594516594,0.3980566534914361,0.635035079862666,0.6081081081081081,0.45230880230880227,0.4200292461162026,0.6482739961188237,0.6081081081081081,0.46461038961038964,0.43376234252638746,0.6566518012638702
real_data5_testing,mean_variance_drift,koebner_phenomenon,2,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.7297297297297297,0.5117424242424242,0.55173294059892,0.8086388826690551,0.7567567567567568,0.5523268398268398,0.5916437728937729,0.8109050791162861,0.7297297297297297,0.5117424242424242,0.55173294059892,0.8081823468676916,0.7432432432432432,0.5295995670995671,0.5703409992069786,0.8304090784694234
real_data5_testing,mean_variance_drift,koebner_phenomenon,3,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.5405405405405406,0.3278138528138528,0.3223443223443223,0.56590815793402,0.5405405405405406,0.3278138528138528,0.3223443223443223,0.56590815793402,0.5405405405405406,0.3278138528138528,0.3223443223443223,0.56590815793402,0.5540540540540541,0.33336940836940837,0.3294314381270903,0.5706700626959248
real_data5_testing,mean_variance_drift,koebner_phenomenon,3,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.6486486486486487,0.3673881673881674,0.3709090909090909,0.8325589640244813,0.6621621621621622,0.3852453102453102,0.3926430205949657,0.8333704968403244,0.6486486486486487,0.3673881673881674,0.3709090909090909,0.8323571304174753,0.6621621621621622,0.3901154401154401,0.39321789321789324,0.8375713725929244
real_data5_testing,mean_variance_drift,koebner_phenomenon,4,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.6216216216216216,0.4426948051948052,0.44517045454545456,0.6488138776931881,0.6081081081081081,0.43713924963924966,0.43940700104493213,0.6439527665820769,0.6216216216216216,0.4426948051948052,0.44517045454545456,0.6488138776931881,0.6486486486486487,0.5107503607503607,0.5048845988354964,0.6869091157884262
real_data5_testing,mean_variance_drift,koebner_phenomenon,4,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.6621621621621622,0.4593614718614719,0.4971847739888977,0.8570391414141414,0.6756756756756757,0.4772186147186147,0.5174051968408995,0.8532111446982137,0.6621621621621622,0.4593614718614719,0.4971847739888977,0.8569433559735283,0.7162162162162162,0.5159271284271284,0.55187050921587,0.8728866559685526
real_data5_testing,mean_variance_drift,polygonal_papules,0,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.918918918918919,0.6835978835978835,0.6972541893801737,,0.9324324324324325,0.7502645502645503,0.7699037620297462,,0.918918918918919,0.6835978835978835,0.6972541893801737,,0.9324324324324325,0.7502645502645503,0.7699037620297462,
real_data5_testing,mean_variance_drift,polygonal_papules,0,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.9054054054054054,0.6560846560846562,0.5384833050367855,,0.9054054054054054,0.6560846560846562,0.5384833050367855,,0.9054054054054054,0.6560846560846562,0.5384833050367855,,0.9054054054054054,0.6560846560846562,0.5384833050367855,
real_data5_testing,mean_variance_drift,polygonal_papules,1,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.9054054054054054,0.5785714285714286,0.5887163561076605,,0.8918918918918919,0.5428571428571429,0.5552191515578243,,0.9054054054054054,0.5785714285714286,0.5887163561076605,,0.9054054054054054,0.5785714285714286,0.5887163561076605,
real_data5_testing,mean_variance_drift,polygonal_papules,1,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.8378378378378378,0.43124999999999997,0.41441441441441446,,0.8378378378378378,0.43124999999999997,0.41441441441441446,,0.8378378378378378,0.43124999999999997,0.41441441441441446,,0.8378378378378378,0.43124999999999997,0.41441441441441446,
real_data5_testing,mean_variance_drift,polygonal_papules,2,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.8378378378378378,0.3886198547215496,0.38179181929181927,,0.8513513513513513,0.4243341404358354,0.4130216189039719,,0.8378378378378378,0.3886198547215496,0.38179181929181927,,0.8378378378378378,0.3886198547215496,0.38179181929181927,
