dataset,ranking_metric,utility_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
real_data5_testing,kendalltau,fidelity_rmse_ratio,-0.06254314444467422,0.6661164915351481,0.21925382408872165,0.12605946058190612,50
real_data5_testing,kendalltau,utility_rmse_ratio,-0.392747460856816,0.004783863268441879,0.006390698795485422,0.96486732051003,50
real_data5_testing,weightedtau,fidelity_accuracy_drop,-0.41923187311788246,2.48266017103365e-73,-0.16023059832935238,3.0405927534152814e-11,1700
real_data5_testing,weightedtau,utility_accuracy_drop,-0.4154178343885444,6.609475552094847e-72,-0.15884036830774642,4.51244790221841e-11,1700
real_data5_testing,weightedtau,fidelity_balanced_accuracy_drop,-0.28193653181845,1.9713770771505411e-32,-0.132723097925971,3.9605089157449305e-08,1700
real_data5_testing,weightedtau,utility_balanced_accuracy_drop,-0.305314052914465,5.250546153888571e-38,-0.1585087764123492,4.955457768099899e-11,1700
real_data5_testing,weightedtau,fidelity_rmse_ratio,-0.08035646462254047,0.579077426962234,0.18827770609005587,0.19039978510900085,50
real_data5_testing,weightedtau,utility_rmse_ratio,-0.3979329449012867,0.0042114950679760284,0.01599808015513871,0.9121958194254924,50
real_data5_testing,spearmanr,fidelity_accuracy_drop,-0.3857483263965415,1.973457364646001e-61,-0.14931218086955975,6.152253377961054e-10,1700
real_data5_testing,spearmanr,utility_accuracy_drop,-0.3812355424482384,6.25994148377941e-60,-0.14928880506228967,6.190580012108412e-10,1700
real_data5_testing,spearmanr,fidelity_balanced_accuracy_drop,-0.26019663719927044,1.0471920911733118e-27,-0.12017449720612666,6.719660699718306e-07,1700
real_data5_testing,spearmanr,utility_balanced_accuracy_drop,-0.2803905226437134,4.417606317365125e-32,-0.1475335127591578,9.841361222643248e-10,1700
real_data5_testing,spearmanr,fidelity_rmse_ratio,-0.19213428083483675,0.1813125260493773,0.21385161935339522,0.1359026528704047,50
real_data5_testing,spearmanr,utility_rmse_ratio,-0.4759034421728701,0.0004774215053429293,0.016239462444719743,0.9108763215978651,50
real_data5_testing,rbo,fidelity_accuracy_drop,-0.3209912190429556,4.835771504908379e-42,-0.11962898064744669,7.553092395334987e-07,1700
real_data5_testing,rbo,utility_accuracy_drop,-0.3204604503019398,6.685041699477947e-42,-0.11641357853428642,1.4890801807756882e-06,1700
real_data5_testing,rbo,fidelity_balanced_accuracy_drop,-0.15717956656631454,7.198763349394394e-11,-0.08912137752837213,0.00023397711727848164,1700
real_data5_testing,rbo,utility_balanced_accuracy_drop,-0.1907493381198536,2.15734847069257e-15,-0.11737246181738446,1.2184579067986246e-06,1700
real_data5_testing,rbo,fidelity_rmse_ratio,0.3367211339815943,0.016800717479285413,0.3036752692511466,0.03204004870128121,50
real_data5_testing,rbo,utility_rmse_ratio,0.018300549827928794,0.8996195933867233,0.15858757535169035,0.2713322994023773,50
real_data5_testing,ndcg_score,fidelity_accuracy_drop,-0.3852252789843733,2.954272381786001e-61,-0.15816761981919586,5.4555556371898e-11,1700
real_data5_testing,ndcg_score,utility_accuracy_drop,-0.38000111961777405,1.5964073083850766e-59,-0.15462376286253074,1.4629207774208663e-10,1700
real_data5_testing,ndcg_score,fidelity_balanced_accuracy_drop,-0.2818599241053889,2.052041226095441e-32,-0.13244777088443974,4.226702818326611e-08,1700
real_data5_testing,ndcg_score,utility_balanced_accuracy_drop,-0.293248991429152,4.59563524825013e-35,-0.15381577586618497,1.8260957808298675e-10,1700
real_data5_testing,ndcg_score,fidelity_rmse_ratio,-0.15647323635045066,0.27785559064560095,0.1967331478537328,0.1708888767794242,50
real_data5_testing,ndcg_score,utility_rmse_ratio,-0.4864992214639913,0.00034064276860719714,0.004371847730082951,0.9759618918256819,50
real_data6_testing,kendalltau,fidelity_accuracy_drop,-0.5538799070015483,1.702034048107612e-73,-0.16256615746844086,9.445323318028532e-07,900
real_data6_testing,kendalltau,utility_accuracy_drop,-0.5469206426432541,2.3962424624896393e-71,-0.1272507511126944,0.00012930009948235277,900
real_data6_testing,kendalltau,fidelity_balanced_accuracy_drop,-0.4340283112967645,1.2157672924011185e-42,-0.1463756836585086,1.0387999581128048e-05,900
real_data6_testing,kendalltau,utility_balanced_accuracy_drop,-0.41929510992541275,1.2505031873409248e-39,-0.12166161585471925,0.00025382089832601756,900
real_data6_testing,weightedtau,fidelity_accuracy_drop,-0.5504106768509359,2.0340466016062175e-72,-0.1689522142989173,3.428708602324261e-07,900
real_data6_testing,weightedtau,utility_accuracy_drop,-0.5432733121736216,3.058964467253529e-70,-0.13060907202070193,8.506211350050871e-05,900
real_data6_testing,weightedtau,fidelity_balanced_accuracy_drop,-0.4468677194172475,2.1669833363237406e-45,-0.15393324242481876,3.4966477442963257e-06,900
real_data6_testing,weightedtau,utility_balanced_accuracy_drop,-0.430477727290398,6.675106711685874e-42,-0.12779082851089774,0.00012096212089149724,900
real_data6_testing,spearmanr,fidelity_accuracy_drop,-0.5267078458346192,2.1970362340504045e-65,-0.1655390849076534,5.921416261482603e-07,900
