perturbation,ranking_metric,utility_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
category_flip,spearmanr,utility_balanced_accuracy_drop,-0.05286308638447547,0.18165986585089489,-0.05329540146262447,0.17810900656196132,640
category_flip,spearmanr,fidelity_rmse_ratio,-0.08356259369484863,0.17918634344611545,-0.10772170064745981,0.0829821647458075,260
category_flip,spearmanr,utility_rmse_ratio,-0.08595824556140373,0.1669975961913248,0.013030687118464468,0.8343623744254931,260
category_flip,rbo,fidelity_accuracy_drop,-0.11957489435718262,0.002445567087944901,-0.16189141484256214,3.8763010730506966e-05,640
category_flip,rbo,utility_accuracy_drop,-0.13716045929939813,0.0005021805116219488,-0.1696809363880652,1.5919420521667253e-05,640
category_flip,rbo,fidelity_balanced_accuracy_drop,0.0979474025172002,0.013174602517453027,0.08647467502900501,0.028707664781863148,640
category_flip,rbo,utility_balanced_accuracy_drop,0.013436973784817605,0.7343970547293958,0.01582097330170064,0.6895358301747885,640
category_flip,rbo,fidelity_rmse_ratio,-0.14825923474439395,0.016741992959944343,-0.047073865307862006,0.44976609791642774,260
category_flip,rbo,utility_rmse_ratio,-0.03306173118006413,0.595639982005369,0.06317095247280782,0.3102455966097851,260
category_flip,ndcg_score,fidelity_accuracy_drop,-0.040813316866614636,0.30258046259509347,-0.06990958204120529,0.0771791032336774,640
category_flip,ndcg_score,utility_accuracy_drop,0.005056800899308392,0.8984031678211147,-0.02886569029027044,0.4660169713234876,640
category_flip,ndcg_score,fidelity_balanced_accuracy_drop,-0.07739116985855145,0.050351308732011275,-0.06188532573852591,0.11781111737388276,640
category_flip,ndcg_score,utility_balanced_accuracy_drop,-0.0028809916180441916,0.9420117164833731,-0.005433055163337407,0.8908893473427837,640
category_flip,ndcg_score,fidelity_rmse_ratio,-0.00885330131087246,0.8870246099598635,-0.0777752621036056,0.21132148869126852,260
category_flip,ndcg_score,utility_rmse_ratio,-0.02778899649780287,0.6555891384314562,0.05243203989779333,0.39981767734738627,260
correlation_mix,kendalltau,fidelity_accuracy_drop,-0.19447155631663215,7.13789769331689e-07,-0.06683641143442096,0.09113775479976156,640
correlation_mix,kendalltau,utility_accuracy_drop,-0.269655050504396,3.994699167837086e-12,-0.14742712062715702,0.00018196414399707046,640
correlation_mix,kendalltau,fidelity_balanced_accuracy_drop,-0.20704427182828308,1.2571638801982016e-07,-0.07960757902012312,0.04409474314427227,640
correlation_mix,kendalltau,utility_balanced_accuracy_drop,-0.1486175150829467,0.0001610485637442504,-0.14719783281276866,0.00018627482571125626,640
correlation_mix,kendalltau,fidelity_rmse_ratio,-0.13989645263636338,0.024070709996843034,-0.20323168042568207,0.0009818258024666346,260
correlation_mix,kendalltau,utility_rmse_ratio,-0.10348858983470732,0.09588547508908019,-0.12261534309558261,0.04826301453231172,260
correlation_mix,weightedtau,fidelity_accuracy_drop,-0.2043003899759549,1.853927912743684e-07,-0.07909345730518683,0.045484450465581805,640
correlation_mix,weightedtau,utility_accuracy_drop,-0.2960240855602343,2.0689102897306143e-14,-0.15506297618694048,8.182260826336173e-05,640
correlation_mix,weightedtau,fidelity_balanced_accuracy_drop,-0.20810428498441497,1.0804410921137367e-07,-0.08618442096824955,0.02924945987861579,640
correlation_mix,weightedtau,utility_balanced_accuracy_drop,-0.15712510361512377,6.550809102743679e-05,-0.15108546941489406,0.0001246644132881237,640
correlation_mix,weightedtau,fidelity_rmse_ratio,-0.0952433956527863,0.125562394060595,-0.1452386239383897,0.019126539562291715,260
correlation_mix,weightedtau,utility_rmse_ratio,-0.14953637113012816,0.015814562643805506,-0.1886022625756762,0.0022587185018124152,260
correlation_mix,spearmanr,fidelity_accuracy_drop,-0.21132535413697243,6.785151438728901e-08,-0.07306882836742139,0.06469386158562812,640
correlation_mix,spearmanr,utility_accuracy_drop,-0.29427993547860365,2.9817571538564435e-14,-0.1449475093233436,0.00023397329698462635,640
correlation_mix,spearmanr,fidelity_balanced_accuracy_drop,-0.22734913193592024,6.004854770108897e-09,-0.08409278606279653,0.033419442607102896,640
correlation_mix,spearmanr,utility_balanced_accuracy_drop,-0.17144962847726486,1.2933656304855534e-05,-0.14720338381795448,0.00018616934342805498,640
correlation_mix,spearmanr,fidelity_rmse_ratio,-0.12314825747160256,0.047289847141944605,-0.16514820658180868,0.007620179572145544,260
correlation_mix,spearmanr,utility_rmse_ratio,-0.07849546726909924,0.20711069607151036,-0.09356824098643529,0.1323816815023507,260
correlation_mix,rbo,fidelity_accuracy_drop,-0.037233918137601296,0.346993647499821,0.013005404438991683,0.7426211086835522,640
correlation_mix,rbo,utility_accuracy_drop,-0.06774458737335519,0.08681655663939195,-0.06265791055024729,0.11328677254820475,640
correlation_mix,rbo,fidelity_balanced_accuracy_drop,-0.07733942886917622,0.050505804016536815,-0.014612525505838242,0.7121516212694502,640
correlation_mix,rbo,utility_balanced_accuracy_drop,-0.03816652620000764,0.3350414352438017,-0.0756631588275182,0.05572955616018584,640
correlation_mix,rbo,fidelity_rmse_ratio,-0.03437416737848173,0.5811133235067671,-0.12952022281015393,0.03687120009860241,260
